Dubai fetch,WTI oil,Brent,world
56.47,48.95,56.46,53.96
58.96,51.52,59.27,56.58
64.32,54.95,64.13,61.13
66.8,58.15,66.41,63.79
70.66,63.87,71.2,68.58
69.13,60.84,70.53,66.83
61.3,54.68,63.3,59.76
62.91,57.52,64,61.48
58.92,54.84,59.25,57.67
60.84,56.95,62.33,60.04
58.47,53.98,59.37,57.27
61.41,57.06,62.74,60.4
64.41,59.8,65.85,63.35
